# 格式：类型 x y 宽 高 编号
tpdoor 790 280 10 40 2
player 391 536 40 40 999
wall 325 330 20 245 1
wall 0 310 345 20 1
wall 477 330 20 245 1
wall 477 310 345 20 1
wall 325 0 20 245 1
wall 0 245 345 20 1
wall 477 0 20 245 1
wall 477 245 345 20 1
#tree 300 265 45 45 1
door 345 5 133 60 1
NPC 477 265 45 45 1 3
tpdoor 0 265 10 45 1
tpdoor 790 265 10 45 1
jar 720 360 40 40 2
wall 0 0 40 40 2
wall 40 0 40 40 2
wall 80 0 40 40 2
wall 120 0 40 40 2
wall 160 0 40 40 2
wall 200 0 40 40 2
wall 240 0 40 40 2
wall 280 0 40 40 2
wall 320 0 40 40 2
wall 360 0 40 40 2
wall 400 0 40 40 2
wall 440 0 40 40 2
wall 480 0 40 40 2
wall 520 0 40 40 2
wall 560 0 40 40 2
wall 600 0 40 40 2
wall 640 0 40 40 2
wall 680 0 40 40 2
wall 720 0 40 40 2
wall 760 0 40 40 2
wall 0 540 40 40 2
wall 40 540 40 40 2
wall 80 540 40 40 2
wall 120 540 40 40 2
wall 160 540 40 40 2
wall 200 540 40 40 2
wall 240 540 40 40 2
wall 280 540 40 40 2
wall 320 540 40 40 2
wall 360 540 40 40 2
wall 400 540 40 40 2
wall 440 540 40 40 2
wall 480 540 40 40 2
wall 520 540 40 40 2
wall 560 540 40 40 2
wall 600 540 40 40 2
wall 640 540 40 40 2
wall 680 540 40 40 2
wall 720 540 40 40 2
wall 760 540 40 40 2
wall 0 40 40 40 2
wall 0 80 40 40 2
wall 0 120 40 40 2
wall 0 160 40 40 2
wall 0 200 40 40 2
wall 0 240 40 40 2
wall 0 280 40 40 2
wall 0 320 40 40 2
wall 0 360 40 40 2
wall 0 400 40 40 2
wall 0 440 40 40 2
wall 0 480 40 40 2
wall 0 520 40 40 2
wall 0 560 40 40 2
wall 760 40 40 40 2
wall 760 80 40 40 2
wall 760 120 40 40 2
wall 760 160 40 40 2
wall 760 200 40 40 2
wall 760 235 40 40 2
#wall 760 280 40 40 2
wall 760 320 40 40 2
wall 760 360 40 40 2
wall 760 400 40 40 2
wall 760 440 40 40 2
wall 760 480 40 40 2
wall 760 520 40 40 2
wall 760 560 40 40 2
wall 720 235 40 40 2
wall 680 235 40 40 2
wall 640 235 40 40 2
wall 600 235 40 40 2
wall 560 235 40 40 2
wall 560 275 40 40 2
wall 560 315 40 40 2
wall 560 355 40 40 2
wall 560 395 40 40 2
wall 560 435 40 40 2
wall 720 320 40 40 2
wall 680 320 40 40 2
wall 680 360 40 40 2
wall 680 400 40 40 2
wall 680 440 40 40 2
wall 280 295 40 40 2
wall 280 335 40 40 2
wall 280 375 40 40 2
wall 280 415 40 40 2
wall 280 455 40 40 2
wall 280 495 40 45 2
wall 320 295 40 40 2
wall 360 295 40 40 2
wall 400 295 40 40 2
wall 440 295 40 40 2
wall 440 335 40 40 2
wall 440 375 40 40 2
wall 440 415 40 40 2
wall 400 415 40 40 2
wall 120 40 40 40 2
wall 120 80 40 40 2
wall 120 120 40 40 2
wall 120 160 40 40 2
wall 120 200 40 40 2
wall 40 300 40 40 2
wall 80 300 40 40 2
wall 120 300 40 40 2
wall 160 300 40 40 2
wall 160 340 40 40 2
wall 160 380 40 40 2
wall 160 500 40 40 2
wall 160 470 40 40 2
wall 235 95 40 40 2
wall 235 135 40 40 2
wall 235 175 40 40 2
wall 275 135 40 40 2
wall 315 135 40 40 2
wall 355 135 40 40 2
wall 395 135 40 40 2
wall 435 135 40 40 2
wall 475 135 40 40 2
wall 515 135 40 40 2
wall 555 135 40 40 2
wall 595 135 40 40 2
wall 635 135 40 40 2
wall 675 135 40 40 2
wall 715 135 45 40 2
wall 360 40 40 40 2
wall 515 100 40 40 2
worm 50 50 40 40 2
